,great
1800,0.0011542203137651086
1801,0.0012347839074209332
1802,0.0011246718931943178
1803,0.0011053018970414996
1804,0.0011612871894612908
1805,0.001162252970971167
1806,0.0011643476318567991
1807,0.0011678386945277452
1808,0.0011987993493676186
1809,0.001196789089590311
1810,0.001192570198327303
1811,0.0011418390786275268
1812,0.0011905726278200746
1813,0.0011308727553114295
1814,0.0011811802396550775
1815,0.001132877659983933
1816,0.0011191923404112458
1817,0.0010781496530398726
1818,0.0010848259553313255
1819,0.0010502147488296032
1820,0.001067491713911295
1821,0.0009933437686413527
1822,0.0010895919986069202
1823,0.001057676156051457
1824,0.0010690499329939485
1825,0.0010455941082909703
1826,0.001038476824760437
1827,0.0010008476674556732
1828,0.0010401628678664565
1829,0.0010588460136204958
1830,0.0010524722747504711
1831,0.0010038901818916202
1832,0.0007973329047672451
1833,0.0010363005567342043
1834,0.000990205560810864
1835,0.0010008426615968347
1836,0.0010052347788587213
1837,0.0009750279132276773
1838,0.0010061657521873713
1839,0.0010170452296733856
1840,0.0010276933899149299
1841,0.0010175479110330343
1842,0.0010118074715137482
1843,0.000998108647763729
1844,0.0010304509196430445
1845,0.0010024739895015955
1846,0.0009918385185301304
1847,0.0010093935998156667
1848,0.001031622290611267
1849,0.0010076463222503662
1850,0.0010105767287313938
1851,0.0009880636353045702
1852,0.0009914733236655593
1853,0.0010095395846292377
1854,0.0010045800590887666
1855,0.0009853909723460674
1856,0.0009836818790063262
1857,0.0009658156195655465
1858,0.0009644414531067014
1859,0.0009657739428803325
1860,0.0009660681243985891
1861,0.0009538193116895854
1862,0.0009425806347280741
1863,0.0009478300926275551
1864,0.0009248738060705364
1865,0.000937388394959271
1866,0.0009404196171090007
1867,0.0009235757170245051
1868,0.0009171335259452462
1869,0.0009282302344217896
1870,0.0009028828353621066
1871,0.000902886560652405
1872,0.0008660645689815283
1873,0.0008726044907234609
1874,0.0008693000418134034
1875,0.0008763663354329765
1876,0.000871321011800319
1877,0.0008388771675527096
1878,0.0008480878896079957
1879,0.0008379473583772779
1880,0.0008523776778019965
1881,0.0008384488755837083
1882,0.0008300222689285874
1883,0.0008278843597508967
1884,0.00080603186506778
1885,0.0008051266777329147
1886,0.0007844877545721829
1887,0.0007752345409244299
1888,0.0007806466892361641
1889,0.0007771005039103329
1890,0.00079447275493294
1891,0.0007745358743704855
1892,0.0007720337598584592
1893,0.0007703842711634934
1894,0.0007575355703011155
1895,0.0007357062422670424
1896,0.0007471111603081226
1897,0.0007408338133245707
1898,0.0007430559489876032
1899,0.000759105896577239
1900,0.0007545155822299421
1901,0.0007201395928859711
1902,0.0007312360103242099
1903,0.0007217747042886913
1904,0.0007185777649283409
1905,0.0006923071341589093
1906,0.0006754227797500789
1907,0.0006715646013617516
1908,0.0006637527840211987
1909,0.0006630670395679772
1910,0.0006645533139817417
1911,0.0006402391009032726
1912,0.0006176672177389264
1913,0.0006043546600267291
1914,0.0005967060569673777
1915,0.0005771443247795105
1916,0.0005862879334017634
1917,0.0005819432553835213
1918,0.000602338754106313
1919,0.0006142692291177809
1920,0.0006049140356481075
1921,0.0005744833033531904
1922,0.0005760728381574154
1923,0.0005698428140021861
1924,0.0005849426961503923
1925,0.0005545964231714606
1926,0.0005856763455085456
1927,0.0005558824632316828
1928,0.0005476714577525854
1929,0.0005316463648341596
1930,0.0005269068060442805
1931,0.0004853876307606697
1932,0.0004942881059832871
1933,0.00045617640716955066
1934,0.00048012545448727906
1935,0.00046080973697826266
1936,0.00045305414823815227
1937,0.0004572414036374539
1938,0.0004502199881244451
1939,0.0004204273864161223
1940,0.00041121564572677016
1941,0.00039671562262810767
1942,0.000421706004999578
1943,0.00041711406083777547
1944,0.0004351423995103687
1945,0.0004252435464877635
1946,0.0004310889053158462
1947,0.00041711583617143333
1948,0.0004137725627515465
1949,0.00039257993921637535
1950,0.00041652150684967637
1951,0.0004051202267874032
1952,0.0004098628996871412
1953,0.00039239812758751214
1954,0.0003832741640508175
1955,0.00038109751767478883
1956,0.00038681726437062025
1957,0.00036593611002899706
1958,0.0003756085061468184
1959,0.00036618593730963767
1960,0.0003681555390357971
1961,0.00036273797741159797
1962,0.000367151660611853
1963,0.000369733344996348
1964,0.000364260544301942
1965,0.00037448963848873973
1966,0.000377784512238577
1967,0.00038732585380785167
1968,0.0003964885254390538
1969,0.00039068484329618514
1970,0.00036057218676432967
1971,0.0003454225661698729
1972,0.0003131669363938272
1973,0.00029199544223956764
1974,0.0002866270369850099
1975,0.00026571573107503355
1976,0.00026384397642686963
1977,0.0002482668496668339
1978,0.00023949854949023575
1979,0.0002340626233490184
1980,0.00023242458701133728
1981,0.0002225169591838494
1982,0.0002198748115915805
1983,0.00022066458768676966
1984,0.00022195013298187405
1985,0.0002123078884324059
1986,0.00021470706269610673
1987,0.0002123194863088429
1988,0.00021139695309102535
1989,0.00020704201597254723
1990,0.0002083348372252658
1991,0.0002047786401817575
1992,0.00020484453125391155
1993,0.0002025561116170138
1994,0.0002011602045968175
1995,0.00020112858328502625
1996,0.0002117771073244512
1997,0.00020943042181897908
1998,0.00021824325085617602
1999,0.00022429399541579187
2000,0.00023078308731783181
2001,0.00022794902906753123
2002,0.00022873288253322244
2003,0.0002443358825985342
2004,0.00025907138478942215
2005,0.0002518326509743929
2006,0.00027561443857848644
2007,0.0002751150750555098
2008,0.00030387789593078196
2009,0.0003055917040910572
2010,0.0003044606128241867
2011,0.0002870882162824273
2012,0.0002641560568008572
2013,0.00028305265004746616
2014,0.00028953893342986703
2015,0.0002944540756288916
2016,0.0002756810572464019
2017,0.0003234724572394043
2018,0.0003554278227966279
2019,0.0003334682260174304
