,including
1800,3.423992166062817e-05
1801,3.0160743335727602e-05
1802,2.8899419703520834e-05
1803,2.9306353098945692e-05
1804,2.5905554139171727e-05
1805,2.8568581910803914e-05
1806,2.4339038645848632e-05
1807,2.9978749807924032e-05
1808,2.5710149202495813e-05
1809,2.5913443096214905e-05
1810,2.5433351765968837e-05
1811,2.5138200726360083e-05
1812,3.0087616323726252e-05
1813,3.182935688528232e-05
1814,3.762588676181622e-05
1815,3.704847767949104e-05
1816,3.386220851098187e-05
1817,3.620492134359665e-05
1818,3.536251824698411e-05
1819,3.720196764334105e-05
1820,3.0356450224644504e-05
1821,2.9041424568276852e-05
1822,3.2582982385065407e-05
1823,3.2281255698762834e-05
1824,3.1340114219347015e-05
1825,3.075965287280269e-05
1826,3.462280801613815e-05
1827,3.253738032071851e-05
1828,3.644892785814591e-05
1829,3.586787715903483e-05
1830,3.5601271520135924e-05
1831,3.877280687447637e-05
1832,8.455169154331088e-05
1833,3.922201358363964e-05
1834,4.460866693989374e-05
1835,5.032537228544243e-05
1836,4.161927427048795e-05
1837,4.259085835656151e-05
1838,4.3497744627529755e-05
1839,4.297582927392796e-05
1840,4.475385503610596e-05
1841,4.878405889030546e-05
1842,4.642408748622984e-05
1843,4.5984761527506635e-05
1844,4.4814292778028175e-05
1845,4.6843215386616066e-05
1846,5.04483214172069e-05
1847,5.0572452892083675e-05
1848,4.9788788601290435e-05
1849,5.0579084927449e-05
1850,5.1935247029177845e-05
1851,5.564312232309021e-05
1852,5.178336505196057e-05
1853,4.881197673967108e-05
1854,5.337445327313617e-05
1855,5.6295910326298326e-05
1856,5.6947905250126496e-05
1857,5.276323281577788e-05
1858,5.8682519011199474e-05
1859,6.476837734226137e-05
1860,5.731140117859468e-05
1861,6.45324689685367e-05
1862,6.479943840531632e-05
1863,6.687063432764262e-05
1864,6.498272705357522e-05
1865,6.659141217824072e-05
1866,6.477825081674382e-05
1867,6.572086567757651e-05
1868,7.026329694781452e-05
1869,7.246233144542202e-05
1870,7.107087731128559e-05
1871,7.040621130727232e-05
1872,6.840603600721806e-05
1873,7.503759115934372e-05
1874,7.917886978248134e-05
1875,7.575615745736286e-05
1876,7.934723544167355e-05
1877,8.203675679396838e-05
1878,8.285663352580741e-05
1879,8.249645179603249e-05
1880,8.353264274774119e-05
1881,8.237545989686623e-05
1882,8.197749411920086e-05
1883,8.082352724159136e-05
1884,8.62145097926259e-05
1885,8.799628267297521e-05
1886,8.80370062077418e-05
1887,8.678610902279615e-05
1888,8.905058348318562e-05
1889,9.102359035750851e-05
1890,9.128212695941329e-05
1891,9.615498856874183e-05
1892,9.506988135399297e-05
1893,9.477751154918224e-05
1894,9.327587758889422e-05
1895,9.671452426118776e-05
1896,9.181896894006059e-05
1897,9.95553782559e-05
1898,0.00010083200322696939
1899,0.00010090571595355868
1900,0.00010429588292026892
1901,0.00010975862824125215
1902,0.00011280187754891813
1903,0.00011163912859046832
1904,0.00011501758854137734
1905,0.00011395443289075047
1906,0.00012002039147773758
1907,0.00012149172835052013
1908,0.00012638894258998334
1909,0.00012688006972894073
1910,0.00012862721632700413
1911,0.00013487749674823135
1912,0.00013631905312649906
1913,0.00014719112368766218
1914,0.0001432758872397244
1915,0.00014821341028437018
1916,0.0001506408880231902
1917,0.00015443787560798228
1918,0.0001549775479361415
1919,0.0001572200853843242
1920,0.00015265392721630633
1921,0.00015948302461765707
1922,0.00015481023001484573
1923,0.0001564272097311914
1924,0.00015832626377232373
1925,0.00016148861323017627
1926,0.00016004075587261468
1927,0.00016822661564219743
1928,0.00016008707461878657
1929,0.00016915386368054897
1930,0.00016717372636776417
1931,0.0001727638446027413
1932,0.00017433689208701253
1933,0.00018823507707566023
1934,0.00018074364925269037
1935,0.00017825404938776046
1936,0.00018168322276324034
1937,0.00018295846530236304
1938,0.00019004441855940968
1939,0.00020072812912985682
1940,0.00019805239571724087
1941,0.00021438956900965422
1942,0.00020875607151538134
1943,0.00021270947763696313
1944,0.0002144308527931571
1945,0.00022104999516159296
1946,0.00021628706599585712
1947,0.00021534501865971833
1948,0.00021255039609968662
1949,0.00021708985150326043
1950,0.00020620465511456132
1951,0.00021504775213543326
1952,0.00020623282762244344
1953,0.0002150064246961847
1954,0.0002167217608075589
1955,0.00021191529231145978
1956,0.00021423485304694623
1957,0.0002140445139957592
1958,0.00021328628645278513
1959,0.00022188374714460224
1960,0.00021980905148666352
1961,0.00021987143554724753
1962,0.00021558730804827064
1963,0.00021493135136552155
1964,0.00021833041682839394
1965,0.00021977361757308245
1966,0.00021886039758101106
1967,0.00022523957886733115
1968,0.00021609938994515687
1969,0.00021799349633511156
1970,0.00022025442740414292
1971,0.00023185700410977006
1972,0.0002361223305342719
1973,0.0002458763774484396
1974,0.00024839898105710745
1975,0.00025633335462771356
1976,0.00025998990167863667
1977,0.0002599470899440348
1978,0.000260908214841038
1979,0.0002639499434735626
1980,0.00026485405396670103
1981,0.00027110931114293635
1982,0.00026544928550720215
1983,0.0002661390171851963
1984,0.0002677158045116812
1985,0.0002717532915994525
1986,0.00027274934109300375
1987,0.0002755368477664888
1988,0.0002837766078300774
1989,0.000290560070425272
1990,0.00028984094387851655
1991,0.0002928168687503785
1992,0.0002980449644383043
1993,0.0003035922709386796
1994,0.00031160953221842647
1995,0.00031591247534379363
1996,0.0003114798746537417
1997,0.0003175473539158702
1998,0.0003160377964377403
1999,0.0003168980765622109
2000,0.00030720571521669626
2001,0.0003117333981208503
2002,0.0003008744097314775
2003,0.0002969490014947951
2004,0.0002962893049698323
2005,0.0002995957329403609
2006,0.00028970662970095873
2007,0.00028308722539804876
2008,0.0002689893008209765
2009,0.000258711603237316
2010,0.0002503800205886364
2011,0.00023726029030513018
2012,0.00023223154130391777
2013,0.00022902453201822937
2014,0.00021508867212105542
2015,0.0002228892408311367
2016,0.00023652311938349158
2017,0.00020471223979257047
2018,0.00019620849343482405
2019,0.0002097287360811606
