,love
1800,0.0003291881876066327
1801,0.00026383562362752855
1802,0.0002553763333708048
1803,0.00027054347447119653
1804,0.0003323484561406076
1805,0.0002927208552137017
1806,0.00030040997080504894
1807,0.0002615933190099895
1808,0.0003505480126477778
1809,0.00024483661400154233
1810,0.00034200577647425234
1811,0.000339881400577724
1812,0.00023137714015319943
1813,0.00023272319231182337
1814,0.00022374713444150984
1815,0.0002871992182917893
1816,0.00022538912890013307
1817,0.00023938076628837734
1818,0.00025223984266631305
1819,0.00023160374257713556
1820,0.0002759955241344869
1821,0.0003239197249058634
1822,0.0002909964241553098
1823,0.0002859811647795141
1824,0.0003004266764037311
1825,0.00029302676557563245
1826,0.0002663841296453029
1827,0.000260694301687181
1828,0.0002655070857144892
1829,0.0002459597017150372
1830,0.0003310216998215765
1831,0.0002770961436908692
1832,0.00019150444131810218
1833,0.0002836751227732748
1834,0.0002403130056336522
1835,0.0002917270758189261
1836,0.0002677173470146954
1837,0.00025575445033609867
1838,0.00025288009783253074
1839,0.00028080883203074336
1840,0.0002745782840065658
1841,0.00026550042093731463
1842,0.00027265629614703357
1843,0.00026960644754581153
1844,0.00028966195532120764
1845,0.00025752102374099195
1846,0.00026310619432479143
1847,0.00027891024365089834
1848,0.00027745074476115406
1849,0.00026184276794083416
1850,0.000283299945294857
1851,0.00025673172785900533
1852,0.0002543887821957469
1853,0.00025831611128523946
1854,0.0002706607920117676
1855,0.0002554957172833383
1856,0.0002549921628087759
1857,0.00025950506096705794
1858,0.00024571316316723824
1859,0.00025502542848698795
1860,0.00024920961004681885
1861,0.00022652068582829088
1862,0.00024131992540787905
1863,0.000228090604650788
1864,0.00023578382388222963
1865,0.00022557185729965568
1866,0.00023529371537733823
1867,0.00023152300855144858
1868,0.00022372748935595155
1869,0.0002305584930581972
1870,0.00022810771770309657
1871,0.00023031591263134032
1872,0.00020543507707770914
1873,0.00022414716659113765
1874,0.00020814550225622952
1875,0.00021590176038444042
1876,0.00019465254445094615
1877,0.0001845120423240587
1878,0.00018653048027772456
1879,0.00018188173999078572
1880,0.00018795915821101516
1881,0.00019542950030881912
1882,0.000184851887752302
1883,0.00019631780742201954
1884,0.00017377620679326355
1885,0.00016695441445335746
1886,0.00015814763901289552
1887,0.0001760405139066279
1888,0.0001721680018818006
1889,0.00016728216724004596
1890,0.00016966060502454638
1891,0.0001640781556488946
1892,0.00017595195095054805
1893,0.00017135331290774047
1894,0.00015992418047972023
1895,0.00015421985881403089
1896,0.00016435200814157724
1897,0.0001545584382256493
1898,0.0001570195163367316
1899,0.00018798357632476836
1900,0.00017004676919896156
1901,0.0001680704444879666
1902,0.00015672815789002925
1903,0.00014562597789335996
1904,0.0001512705784989521
1905,0.00013160805974621326
1906,0.00012744954437948763
1907,0.00013040355406701565
1908,0.00012036627595080063
1909,0.00012568096281029284
1910,0.00012129009701311588
1911,0.00010430928523419425
1912,0.00010986450797645375
1913,0.00010085733811138198
1914,9.927162318490446e-05
1915,9.300736564910039e-05
1916,9.044760372489691e-05
1917,9.201205830322579e-05
1918,8.428546425420791e-05
1919,8.691860421095043e-05
1920,9.232448064722121e-05
1921,8.340000931639224e-05
1922,9.089989907806739e-05
1923,0.00010635798389557749
1924,0.00010831234249053523
1925,0.0001084497052943334
1926,0.0001068606652552262
1927,0.00011495409853523597
1928,0.00010341987945139408
1929,0.00011311423440929502
1930,0.00010030394332716241
1931,9.657965711085126e-05
1932,9.84666621661745e-05
1933,8.949731272878125e-05
1934,9.27254295675084e-05
1935,9.018872515298426e-05
1936,9.300860983785242e-05
1937,8.529879414709285e-05
1938,8.38146879686974e-05
1939,7.415730942739174e-05
1940,7.660972914891317e-05
1941,6.943455809960142e-05
1942,7.455635932274163e-05
1943,6.926205242052674e-05
1944,7.566498243249953e-05
1945,7.340017327805981e-05
1946,8.175853872671723e-05
1947,7.977397763170302e-05
1948,8.339630585396662e-05
1949,7.750635268166661e-05
1950,8.50458673085086e-05
1951,8.265572250820696e-05
1952,9.131632396019995e-05
1953,8.569832425564528e-05
1954,7.949738210299984e-05
1955,8.310299017466605e-05
1956,8.288247045129538e-05
1957,8.274686842923984e-05
1958,8.134780364343897e-05
1959,7.949930295580998e-05
1960,8.187360799638554e-05
1961,8.227241050917655e-05
1962,8.336811151821166e-05
1963,8.335050370078534e-05
1964,8.239846647484228e-05
1965,8.858145156409591e-05
1966,8.802240336081013e-05
1967,8.798392082098871e-05
1968,9.155953011941165e-05
1969,9.001315629575402e-05
1970,8.94490658538416e-05
1971,8.071957563515753e-05
1972,8.02206268417649e-05
1973,7.620442193001509e-05
1974,7.65987133490853e-05
1975,7.359070878010243e-05
1976,6.988810491748154e-05
1977,7.064789679134265e-05
1978,7.348769577220082e-05
1979,7.196085789473727e-05
1980,7.392132101813331e-05
1981,7.563763938378543e-05
1982,7.717732660239562e-05
1983,7.94480147305876e-05
1984,8.073124627117068e-05
1985,8.015044295461848e-05
1986,8.343002264155075e-05
1987,8.897755469661206e-05
1988,8.891258767107502e-05
1989,8.977998368209228e-05
1990,9.027545456774533e-05
1991,9.482611494604498e-05
1992,9.68945023487322e-05
1993,9.880475408863276e-05
1994,0.00010208298044744879
1995,0.00010198302334174514
1996,0.00010976136400131509
1997,0.00011104259465355426
1998,0.00011473106133053079
1999,0.00012051119847455993
2000,0.00013530255819205195
2001,0.000137445138534531
2002,0.00014144506712909788
2003,0.0001526820269646123
2004,0.00016202715050894767
2005,0.00016566671547479928
2006,0.00017580368148628622
2007,0.0001803815976018086
2008,0.00020141876302659512
2009,0.00022229108435567468
2010,0.00023144923034124076
2011,0.0002487295714672655
2012,0.00023297805455513299
2013,0.00023600731219630688
2014,0.00028484148788265884
2015,0.0002730965497903526
2016,0.0002492947969585657
2017,0.0002743122458923608
2018,0.00027489924104884267
2019,0.0002793522144202143
