,join
1800,4.621278276317753e-05
1801,4.4110998715041205e-05
1802,5.017026705900207e-05
1803,5.2299019444035366e-05
1804,5.196712663746439e-05
1805,4.8260575567837805e-05
1806,4.664368316298351e-05
1807,4.7616198571631685e-05
1808,5.050597610534169e-05
1809,4.6614513848908246e-05
1810,4.827591692446731e-05
1811,4.831252954318188e-05
1812,4.800568422069773e-05
1813,4.8021691327448934e-05
1814,4.71074235974811e-05
1815,4.507408812060021e-05
1816,4.5247830712469295e-05
1817,4.515961336437613e-05
1818,4.420314871822484e-05
1819,4.3133833969477564e-05
1820,4.5157452404964715e-05
1821,4.265917596057989e-05
1822,4.5990716898813844e-05
1823,4.4427353714127094e-05
1824,4.3287818698445335e-05
1825,4.410842666402459e-05
1826,4.392818664200604e-05
1827,4.487467958824709e-05
1828,4.2324325477238744e-05
1829,4.317234561312944e-05
1830,4.427613748703152e-05
1831,3.9706526877125725e-05
1832,3.468281647656113e-05
1833,3.831938374787569e-05
1834,3.9493050280725583e-05
1835,3.88818807550706e-05
1836,4.1090999729931355e-05
1837,4.197687667328864e-05
1838,4.121045640204102e-05
1839,4.1037521441467106e-05
1840,4.1776154830586165e-05
1841,3.971465412178077e-05
1842,3.774188371608034e-05
1843,3.888686478603631e-05
1844,4.035965685034171e-05
1845,4.173642082605511e-05
1846,3.8908976421225816e-05
1847,3.914350236300379e-05
1848,3.856966577586718e-05
1849,3.707452924572863e-05
1850,3.472093158052303e-05
1851,3.6141060263616964e-05
1852,3.636764085968025e-05
1853,3.6720964999403805e-05
1854,3.546661901054904e-05
1855,3.507916335365735e-05
1856,3.596179885789752e-05
1857,3.435121470829472e-05
1858,3.3209875255124643e-05
1859,3.391526115592569e-05
1860,3.448846109677106e-05
1861,3.4009575756499544e-05
1862,3.332587584736757e-05
1863,3.3597138099139556e-05
1864,3.5302706237416714e-05
1865,3.2869989809114486e-05
1866,3.496771023492329e-05
1867,3.188956543453969e-05
1868,3.012177512573544e-05
1869,3.125078001176007e-05
1870,3.1699146347818896e-05
1871,2.9936543796793558e-05
1872,3.1138970371102914e-05
1873,2.8379648938425817e-05
1874,2.9094295314280316e-05
1875,3.0740768124815077e-05
1876,3.078711233683862e-05
1877,3.287173240096308e-05
1878,2.9355656806728803e-05
1879,2.929533366113901e-05
1880,2.944307925645262e-05
1881,2.9505876227631234e-05
1882,2.8049653337802738e-05
1883,2.876986218325328e-05
1884,2.8328291591606103e-05
1885,2.8707983801723458e-05
1886,2.891319127229508e-05
1887,2.882896296796389e-05
1888,2.95163245027652e-05
1889,2.857427352864761e-05
1890,2.910774310294073e-05
1891,2.963245970022399e-05
1892,2.868065712391399e-05
1893,2.921103259723168e-05
1894,2.7409747417550534e-05
1895,2.70336058747489e-05
1896,2.7760443117585965e-05
1897,2.8730240956065245e-05
1898,2.8574144380399957e-05
1899,2.949028385046404e-05
1900,2.8102098440285772e-05
1901,2.7237598260398954e-05
1902,2.735748785198666e-05
1903,2.6797169994097203e-05
1904,2.658758603502065e-05
1905,2.5130455469479784e-05
1906,2.4390190446865745e-05
1907,2.5352286684210412e-05
1908,2.464702629367821e-05
1909,2.4362252588616684e-05
1910,2.5325331080239266e-05
1911,2.4441083951387554e-05
1912,2.441407741571311e-05
1913,2.3857672204030678e-05
1914,2.4364318960579112e-05
1915,2.4167571609723382e-05
1916,2.4867425963748246e-05
1917,2.458250855852384e-05
1918,2.452365333738271e-05
1919,2.4471935830661096e-05
1920,2.4521468731109053e-05
1921,2.3443499230779707e-05
1922,2.3210144718177617e-05
1923,2.365946966165211e-05
1924,2.3446289560524747e-05
1925,2.2875383365317248e-05
1926,2.383653372817207e-05
1927,2.353239142394159e-05
1928,2.4466073227813467e-05
1929,2.3909453375381418e-05
1930,2.423597288725432e-05
1931,2.4169821699615568e-05
1932,2.4633702196297236e-05
1933,2.4634175133542158e-05
1934,2.6093790438608266e-05
1935,2.549917007854674e-05
1936,2.7916936232941225e-05
1937,2.6273910407326184e-05
1938,2.8082740755053237e-05
1939,2.9938224543002434e-05
1940,3.0599967431044206e-05
1941,2.750193561951164e-05
1942,3.088848097831942e-05
1943,3.04202640108997e-05
1944,3.0252478609327227e-05
1945,2.8854401534772478e-05
1946,3.034296059922781e-05
1947,2.9476255804183893e-05
1948,2.8912527341162786e-05
1949,2.8109636332374066e-05
1950,2.87748989649117e-05
1951,2.8385897167026997e-05
1952,2.9750903195235878e-05
1953,2.8755768653354608e-05
1954,2.819438486767467e-05
1955,2.8427863071556203e-05
1956,2.8569345886353403e-05
1957,2.81625943898689e-05
1958,2.9171813366701826e-05
1959,2.9071996323182248e-05
1960,2.8746035241056234e-05
1961,2.981893157993909e-05
1962,2.9533301130868495e-05
1963,2.8377753551467322e-05
1964,2.881423461076338e-05
1965,3.049990482395515e-05
1966,3.063137046410702e-05
1967,2.9983839340275154e-05
1968,3.073838524869643e-05
1969,3.0195258659659885e-05
1970,3.0148352379910648e-05
1971,2.920541010098532e-05
1972,2.871925607905723e-05
1973,2.7369873350835405e-05
1974,2.7087071430287324e-05
1975,2.647117798915133e-05
1976,2.62257999565918e-05
1977,2.5985955289797857e-05
1978,2.572919038357213e-05
1979,2.631935967656318e-05
1980,2.6235078621539287e-05
1981,2.6353851353633218e-05
1982,2.6515974241192453e-05
1983,2.69594784185756e-05
1984,2.69788688456174e-05
1985,2.7907695766771212e-05
1986,2.792416125885211e-05
1987,2.7893862352357246e-05
1988,2.8593751267180778e-05
1989,2.8088727049180306e-05
1990,2.9182068828959018e-05
1991,2.9719438316533342e-05
1992,2.9559345421148464e-05
1993,2.8908298190799542e-05
1994,3.0001179766259156e-05
1995,2.9561630071839318e-05
1996,3.0066410545259714e-05
1997,3.128279422526248e-05
1998,3.1715473596705124e-05
1999,3.261469828430563e-05
2000,3.343855496495962e-05
2001,3.38982863468118e-05
2002,3.406511677894741e-05
2003,3.512531111482531e-05
2004,3.600616764742881e-05
2005,3.573880167095922e-05
2006,3.573884896468371e-05
2007,3.568070678738877e-05
2008,3.7010711821494624e-05
2009,3.855830800603144e-05
2010,4.0482223994331434e-05
2011,4.1261133446823806e-05
2012,3.736159851541743e-05
2013,3.772480704355985e-05
2014,4.262677248334512e-05
2015,4.2531697545200586e-05
2016,4.045436799060553e-05
2017,3.99703967559617e-05
2018,3.9139631553553045e-05
2019,4.026096939924173e-05
