,july
1800,7.778192525620398e-07
1801,1.1868248748214683e-06
1802,1.2153568604844622e-06
1803,1.2909780480185873e-06
1804,1.8267154473505798e-06
1805,9.420551236871688e-07
1806,1.2309568546697847e-06
1807,1.400916062266333e-06
1808,9.470438726566499e-07
1809,1.3302402521730983e-06
1810,9.548856496621738e-07
1811,6.507792022603098e-06
1812,7.193570468189137e-07
1813,4.805525009032863e-07
1814,4.200160219625104e-07
1815,3.3920443343049556e-07
1816,4.1957744656428986e-07
1817,4.3881209421670064e-07
1818,2.7310096584187704e-07
1819,1.7172597210901586e-07
1820,1.3793479070045578e-07
1821,1.152984552277303e-07
1822,2.1146850315290067e-07
1823,8.873295342937126e-08
1824,1.2868281373812351e-07
1825,6.550367004365398e-08
1826,6.29273202434888e-08
1827,7.229068899050617e-08
1828,3.8997974627363874e-08
1829,4.811028730955513e-08
1830,4.9043613614685455e-08
1831,1.1430116586552685e-07
1832,7.673951074593788e-08
1833,3.4023720729692286e-08
1834,5.657284773974425e-08
1835,6.258485285570714e-08
1836,4.445578483114332e-08
1837,3.604812448543271e-08
1838,7.448344518934391e-08
1839,3.415283700292093e-08
1840,3.3609573790727154e-08
1841,6.144222908233132e-08
1842,3.2358673962562534e-08
1843,5.238107547711479e-08
1844,2.1063261357312513e-08
1845,3.8739436547530204e-08
1846,3.0754453206327526e-08
1847,5.750003850835128e-08
1848,4.531562325382765e-08
1849,3.2871131594447434e-08
1850,4.03026341189161e-08
1851,2.4117264629808233e-08
1852,2.5203842568544133e-08
1853,2.1266519212304047e-08
1854,4.907502670903341e-08
1855,3.0084134294838805e-08
1856,5.1010122348316145e-08
1857,2.7574015959430653e-08
1858,3.858878727669435e-08
1859,3.23539204316603e-08
1860,4.279132781448425e-08
1861,4.5967603057306405e-08
1862,6.952043207775205e-08
1863,8.325846323486985e-08
1864,6.405589658697863e-08
1865,7.566541171399876e-08
1866,1.0292286845015042e-07
1867,1.3219600702996104e-07
1868,2.7893685228264076e-07
1869,7.265030603775813e-07
1870,3.0853695420773875e-07
1871,3.036440716641664e-07
1872,2.446803648581408e-07
1873,2.7643764610729704e-07
1874,4.5899642486801895e-07
1875,4.056266789120855e-07
1876,5.300119028106565e-07
1877,4.428705153713963e-07
1878,5.899717621105083e-07
1879,4.424661028679111e-07
1880,3.217301411950757e-07
1881,3.787102968999534e-07
1882,1.3901284319217666e-06
1883,1.099237351809279e-06
1884,1.301007614529226e-06
1885,1.1885564390468062e-06
1886,7.424824275403807e-07
1887,4.3163780105714977e-07
1888,1.1102854386990657e-06
1889,7.004473445704207e-07
1890,6.37764344446623e-07
1891,5.99004067680653e-07
1892,6.736126465511916e-07
1893,7.357251661233022e-07
1894,1.1101838026661426e-06
1895,8.560324431527988e-07
1896,9.648773584558512e-07
1897,1.1411063951527467e-06
1898,1.038574737322051e-06
1899,6.738380307069747e-07
1900,1.0934835472653504e-06
1901,8.550813390684198e-07
1902,1.3030228274146793e-06
1903,1.7349948393530212e-06
1904,8.118676646517997e-07
1905,1.8041840803562081e-06
1906,1.4452182313107187e-06
1907,2.197550202254206e-06
1908,1.2038922250212636e-06
1909,9.908025049298885e-07
1910,1.7197838815263822e-06
1911,1.0327652262276388e-06
1912,7.310273986149696e-07
1913,9.805631862036535e-07
1914,9.246401759810396e-07
1915,6.383864388226357e-07
1916,7.552446845693339e-07
1917,6.316954568319488e-07
1918,6.977654152251489e-07
1919,8.930571198106918e-07
1920,9.697805580799468e-07
1921,8.136482847476145e-07
1922,6.90512933942955e-07
1923,4.0294312952937617e-07
1924,2.754937611371133e-07
1925,3.1106870324038027e-07
1926,2.6142052433897334e-07
1927,3.4891039035755966e-07
1928,2.840679087512399e-07
1929,3.1578673542753677e-07
1930,2.787043058560812e-07
1931,2.9330718120945676e-07
1932,4.0940233247965807e-07
1933,3.350602924001578e-07
1934,2.8958618258911883e-07
1935,2.805271037686907e-07
1936,3.270971262736566e-07
1937,2.8844257826676767e-07
1938,4.221798803882848e-07
1939,3.132030599317659e-07
1940,3.4215707955809194e-07
1941,3.6604689057639916e-07
1942,2.599932145130879e-07
1943,2.8166243737359764e-07
1944,2.955595448383974e-07
1945,2.9239555487947655e-07
1946,8.014747550078027e-07
1947,4.389015373362781e-07
1948,5.520837476069573e-07
1949,3.1426503710463294e-07
1950,4.7066515662663733e-07
1951,4.376231856895174e-07
1952,3.142738762562658e-07
1953,4.3893800238947733e-07
1954,3.1416809065376583e-07
1955,3.463800055669708e-07
1956,3.905364849288162e-07
1957,3.194671478468081e-07
1958,8.993393407763506e-07
1959,3.472186449471337e-07
1960,5.082962388769374e-07
1961,5.832719125464791e-07
1962,3.1425383895111736e-07
1963,3.4463488418623456e-07
1964,4.066299368332693e-07
1965,6.116462714089721e-07
1966,3.5086392813354905e-07
1967,3.4756445188577345e-07
1968,3.5887958915736817e-07
1969,3.814961928583216e-07
1970,3.535218127126427e-07
1971,3.125207683751796e-07
1972,4.3056735421487247e-07
1973,3.5677871323969157e-07
1974,3.979928351327544e-07
1975,4.4750240135726926e-07
1976,4.0312184523827455e-07
1977,2.7569521421355603e-07
1978,3.4133697113247763e-07
1979,3.500187233385077e-07
1980,4.1144184592667443e-07
1981,3.7041996847619885e-07
1982,3.420461780478945e-07
1983,3.1153740565059707e-07
1984,3.8085664755271864e-07
1985,4.251085385931219e-07
1986,4.140221392390231e-07
1987,4.0324619021703256e-07
1988,6.184989160828991e-07
1989,3.704850826125039e-07
1990,3.5773939544014866e-07
1991,3.089259905664221e-07
1992,2.853912519640289e-07
1993,3.3460406712038093e-07
1994,3.4410484772706695e-07
1995,3.4658245340324356e-07
1996,3.5999468650516064e-07
1997,3.341308172366553e-07
1998,3.2861791510185867e-07
1999,3.2816609518704354e-07
2000,3.8193886098270013e-07
2001,3.671957244932855e-07
2002,3.0962385721977626e-07
2003,2.969913737160823e-07
2004,2.9893982400608365e-07
2005,3.010899831679126e-07
2006,3.1806621336727403e-07
2007,3.7088580029376317e-07
2008,4.3329117715984466e-07
2009,3.7564316812677134e-07
2010,4.941223323839949e-07
2011,4.7285848836509103e-07
2012,5.887722522857075e-07
2013,7.373229777840606e-07
2014,1.8373678756233858e-07
2015,7.58793774480182e-08
2016,1.0023535423897556e-07
2017,6.310238376272537e-08
2018,1.6540195701963967e-07
2019,5.2790326776630536e-08
