,per
1800,0.00023633800446987152
1801,0.00018783427367452532
1802,0.00019890640396624804
1803,0.00023028108989819884
1804,0.0001604454155312851
1805,0.0001639935653656721
1806,0.00016545190010219812
1807,0.00016214109200518578
1808,0.00016933908045757562
1809,0.00016716685786377639
1810,0.00015294866170734167
1811,0.00017416334594599903
1812,0.00019943287770729512
1813,0.00018977552826981992
1814,0.0001904280507005751
1815,0.00016907419194467366
1816,0.00018327115685679018
1817,0.00015819176041986793
1818,0.00019463716307654977
1819,0.0002312709402758628
1820,0.00015256667393259704
1821,0.00016174493066500872
1822,0.00017093283531721681
1823,0.0001776485296431929
1824,0.0001713605015538633
1825,0.00017115061928052455
1826,0.000183956217369996
1827,0.00016761769074946642
1828,0.00020050986495334655
1829,0.00017786787066143006
1830,0.00017541070701554418
1831,0.00018681676010601223
1832,0.0002837074571289122
1833,0.000216548316529952
1834,0.00024334648333024234
1835,0.0002206473727710545
1836,0.00019736000103875995
1837,0.00019779373542405665
1838,0.00020746688824146986
1839,0.0002024905988946557
1840,0.00022942869691178203
1841,0.0002333495649509132
1842,0.0002563385060057044
1843,0.00023079683887772262
1844,0.00024153779668267816
1845,0.0002390367881162092
1846,0.00028192056925036013
1847,0.00026099642855115235
1848,0.0002642162435222417
1849,0.0002691561239771545
1850,0.00026163706206716597
1851,0.00028793144156225026
1852,0.0002722993085626513
1853,0.00025922723580151796
1854,0.0002526651951484382
1855,0.000280826905509457
1856,0.0002673373091965914
1857,0.00030014279764145613
1858,0.00030200209585018456
1859,0.00031893487903289497
1860,0.0002966453321278095
1861,0.0003284724080003798
1862,0.0003456756239756942
1863,0.0003503008047118783
1864,0.0003291650500614196
1865,0.00035365819348953664
1866,0.00034651189344003797
1867,0.00037305086152628064
1868,0.00038079958176240325
1869,0.0003753967466764152
1870,0.00037425258778966963
1871,0.00036484748125076294
1872,0.00039452005876228213
1873,0.00038916623452678323
1874,0.00042741853394545615
1875,0.0004068897105753422
1876,0.0004467088438104838
1877,0.00044076438643969595
1878,0.00045477779349312186
1879,0.0004450004198588431
1880,0.0004309613141231239
1881,0.0004375069111119956
1882,0.00046673609176650643
1883,0.0004617448430508375
1884,0.0005034139030613005
1885,0.0005003330297768116
1886,0.0005145288305357099
1887,0.0005196344573050737
1888,0.0005571619840338826
1889,0.0005686215008608997
1890,0.0005521865095943213
1891,0.0005794606986455619
1892,0.0005943826399743557
1893,0.0006014451500959694
1894,0.0006378074176609516
1895,0.0006134918075986207
1896,0.0006169161642901599
1897,0.0006471927044913173
1898,0.0006285822601057589
1899,0.0005945953889749944
1900,0.0006223981035873294
1901,0.0006685633561573923
1902,0.0007005039369687438
1903,0.0006930374656803906
1904,0.0007091486477293074
1905,0.0007330580265261233
1906,0.0007597892545163631
1907,0.0007784604094922543
1908,0.000843979069031775
1909,0.0009028345230035484
1910,0.0008329001720994711
1911,0.0009419489069841802
1912,0.000916906341444701
1913,0.0009953599656000733
1914,0.0009136529406532645
1915,0.0009717713692225516
1916,0.0010060889180749655
1917,0.000989829539321363
1918,0.0010071169817820191
1919,0.0010220606345683336
1920,0.0010458881733939052
1921,0.0010749779175966978
1922,0.0010738978162407875
1923,0.0009867727058008313
1924,0.0010192178888246417
1925,0.001025271718390286
1926,0.0009486751514486969
1927,0.0009692920721136034
1928,0.0010094328317791224
1929,0.0010867802193388343
1930,0.0010577390203252435
1931,0.0010540243238210678
1932,0.0011148287449032068
1933,0.001042103860527277
1934,0.0009299124940298498
1935,0.000846598413772881
1936,0.0008548432379029691
1937,0.000846948241814971
1938,0.0008461508550681174
1939,0.0008290795376524329
1940,0.000832604244351387
1941,0.0007926522521302104
1942,0.0008048276067711413
1943,0.0008015692001208663
1944,0.0008103263680823147
1945,0.000783634721301496
1946,0.0007795577403157949
1947,0.0007608053274452686
1948,0.0007793308468535542
1949,0.0007468659896403551
1950,0.0007404920179396868
1951,0.0007380291353911161
1952,0.0007341770105995238
1953,0.0007142004324123263
1954,0.0007225849549286067
1955,0.0007391400285996497
1956,0.0007303868769668043
1957,0.0007072860607877374
1958,0.0007222828571684659
1959,0.0007014370057731867
1960,0.000704392499756068
1961,0.0006851727957837284
1962,0.0006670584552921355
1963,0.0006585000664927065
1964,0.0006571246194653213
1965,0.0006198998889885843
1966,0.0006074715638533235
1967,0.0005823267856612802
1968,0.0005725237424485385
1969,0.0005493288044817746
1970,0.0005490003386512399
1971,0.0005445004790090024
1972,0.000543704372830689
1973,0.0005221058381721377
1974,0.0005302406498230994
1975,0.0005174397374503314
1976,0.0005085964221507311
1977,0.0004941923543810844
1978,0.0004785294586326927
1979,0.0004746091435663402
1980,0.0004687842447310686
1981,0.00045696552842855453
1982,0.0004447339160833508
1983,0.000434841524111107
1984,0.00040302713750861585
1985,0.0003988805692642927
1986,0.0004048748523928225
1987,0.0003795875236392021
1988,0.0003866524202749133
1989,0.0003717311192303896
1990,0.0003649731515906751
1991,0.0003533140115905553
1992,0.00034765215241350234
1993,0.00034881726605817676
1994,0.0003373454965185374
1995,0.00033615881693549454
1996,0.00032667588675394654
1997,0.0003253445029258728
1998,0.00031870463863015175
1999,0.0003104596398770809
2000,0.0002919230901170522
2001,0.0002941505517810583
2002,0.0002905107394326478
2003,0.0002950384805444628
2004,0.0002708705433178693
2005,0.00027969147777184844
2006,0.00026354441069997847
2007,0.00025876815197989345
2008,0.00023785476514603943
2009,0.00021549509256146848
2010,0.00020739804313052446
2011,0.00018532664398662746
2012,0.00019181816605851054
2013,0.00020081237016711384
2014,0.000165246645337902
2015,0.00016104959649965167
2016,0.00018838756659533828
2017,0.00015650296700187027
2018,0.00013867157394997776
2019,0.00014350535639096051
