,store
1800,2.1695601390092634e-05
1801,1.676541978667956e-05
1802,1.869715197244659e-05
1803,1.3563913853431586e-05
1804,1.67589769262122e-05
1805,1.923008130688686e-05
1806,1.7705140635371208e-05
1807,1.9313849406898953e-05
1808,2.156933260266669e-05
1809,1.7573649529367685e-05
1810,2.5635457859607413e-05
1811,1.5986102880560793e-05
1812,1.5343328414019197e-05
1813,1.4210624613042455e-05
1814,1.4387189366971143e-05
1815,1.5740422895760275e-05
1816,1.3854202734364662e-05
1817,1.4521754565066658e-05
1818,1.5852023352636024e-05
1819,1.659485133131966e-05
1820,1.5092465218913276e-05
1821,1.6788457287475467e-05
1822,1.9181559764547274e-05
1823,1.780127604433801e-05
1824,1.658118526393082e-05
1825,1.5853634977247566e-05
1826,1.5227427866193466e-05
1827,1.609265927982051e-05
1828,1.5235799764923286e-05
1829,1.675233397691045e-05
1830,1.5644913219148293e-05
1831,1.573803456267342e-05
1832,2.6974430511472747e-05
1833,1.653619619901292e-05
1834,1.889272971311584e-05
1835,1.677333602856379e-05
1836,1.7418584320694208e-05
1837,1.814209099393338e-05
1838,1.7948163076653145e-05
1839,1.889492523332592e-05
1840,1.7489986930740997e-05
1841,1.7006139387376606e-05
1842,1.8891629224526696e-05
1843,1.8949780496768653e-05
1844,1.889374470920302e-05
1845,1.9055545635637827e-05
1846,2.0462270185817033e-05
1847,2.0208224668749608e-05
1848,1.9213355699321255e-05
1849,1.9875164070981555e-05
1850,2.1479183487826958e-05
1851,2.114318522217218e-05
1852,2.0723577108583413e-05
1853,2.082058745145332e-05
1854,2.0815285097341985e-05
1855,2.340616447327193e-05
1856,2.319744453416206e-05
1857,2.249120552733075e-05
1858,2.134658097929787e-05
1859,2.4112021492328495e-05
1860,2.398538163106423e-05
1861,2.260759356431663e-05
1862,2.1712126908823848e-05
1863,2.476960617059376e-05
1864,2.403361395408865e-05
1865,2.282677269249689e-05
1866,2.4305838451255113e-05
1867,2.397956450295169e-05
1868,2.2261390768107958e-05
1869,2.4917257178458385e-05
1870,2.6351777705713175e-05
1871,2.6899162548943423e-05
1872,3.351178747834638e-05
1873,2.5779361749300733e-05
1874,2.5781057047424838e-05
1875,2.7906829927815124e-05
1876,2.7094776669400744e-05
1877,3.07480659103021e-05
1878,2.887098708015401e-05
1879,2.899159153457731e-05
1880,2.8707136152661406e-05
1881,3.004434984177351e-05
1882,3.245930201956071e-05
1883,3.12625415972434e-05
1884,3.2184470910578966e-05
1885,2.9153323339414783e-05
1886,3.2191852369578555e-05
1887,3.1307303288485855e-05
1888,3.329474930069409e-05
1889,3.483079490251839e-05
1890,3.2777450542198494e-05
1891,3.3755928598111495e-05
1892,3.3894055377459154e-05
1893,3.162945358781144e-05
1894,3.4532738936832175e-05
1895,3.3923235605470836e-05
1896,3.468376598902978e-05
1897,3.6006938898935914e-05
1898,3.461515734670684e-05
1899,3.395766543690115e-05
1900,3.429317439440638e-05
1901,3.436878978391178e-05
1902,3.4383992897346616e-05
1903,3.4856369893532246e-05
1904,3.678235589177348e-05
1905,3.8973463233560324e-05
1906,3.885788100888021e-05
1907,3.810611451626755e-05
1908,3.818323602899909e-05
1909,3.9790989831089973e-05
1910,3.8079830119386315e-05
1911,3.954116618842818e-05
1912,4.2285373638151214e-05
1913,4.430458284332417e-05
1914,4.58296672150027e-05
1915,4.9336464144289494e-05
1916,5.0720696890493855e-05
1917,4.7644305595895275e-05
1918,4.842250928049907e-05
1919,4.801604518434033e-05
1920,4.9427038902649656e-05
1921,5.251136826700531e-05
1922,5.2188916015438735e-05
1923,4.747745333588682e-05
1924,4.7068897401914e-05
1925,4.484917371883057e-05
1926,4.568809163174592e-05
1927,4.6540648327209055e-05
1928,4.604557034326717e-05
1929,4.679853736888617e-05
1930,5.0864251534221694e-05
1931,4.4975473429076374e-05
1932,4.6259985538199544e-05
1933,4.5018914534011856e-05
1934,4.554729821393266e-05
1935,4.457584145711735e-05
1936,4.533984247245826e-05
1937,4.6396631660172716e-05
1938,4.476849062484689e-05
1939,4.35015135735739e-05
1940,4.86624994664453e-05
1941,4.441713826963678e-05
1942,4.4335811253404245e-05
1943,4.163710764260031e-05
1944,4.2748219129862264e-05
1945,4.238270776113495e-05
1946,4.5211018004920334e-05
1947,4.3789892515633255e-05
1948,4.432225978234783e-05
1949,4.25127764174249e-05
1950,3.956786167691462e-05
1951,4.105135303689167e-05
1952,4.447641913429834e-05
1953,4.331546006142162e-05
1954,4.0100800106301904e-05
1955,3.9597987779416144e-05
1956,4.072056617587805e-05
1957,4.085420005139895e-05
1958,3.941661270800978e-05
1959,3.81868849217426e-05
1960,3.739617022802122e-05
1961,3.762865890166722e-05
1962,3.478208964224905e-05
1963,3.523398845572956e-05
1964,3.445371112320572e-05
1965,3.2591928174952045e-05
1966,3.386228490853682e-05
1967,3.310046304250136e-05
1968,3.2996806112350896e-05
1969,3.0828621675027534e-05
1970,3.3393695048289374e-05
1971,3.051854218938388e-05
1972,3.083414048887789e-05
1973,2.9885803087381646e-05
1974,3.070641469093971e-05
1975,3.0336121199070476e-05
1976,3.1079438485903665e-05
1977,3.1179450161289424e-05
1978,3.1106283131521195e-05
1979,3.114671562798321e-05
1980,3.0775208870181814e-05
1981,3.1411327654495835e-05
1982,3.2554238714510575e-05
1983,3.362672941875644e-05
1984,3.432543235248886e-05
1985,3.3420048566767946e-05
1986,3.410822318983264e-05
1987,3.362955976626836e-05
1988,3.5301331081427634e-05
1989,3.392445796635002e-05
1990,3.4417695133015513e-05
1991,3.4481276088627055e-05
1992,3.4189491998404264e-05
1993,3.5229892091592774e-05
1994,3.623847442213446e-05
1995,3.6251713027013466e-05
1996,3.7115885788807645e-05
1997,3.89927918149624e-05
1998,3.9669412217335775e-05
1999,4.125187479075976e-05
2000,4.228705438436009e-05
2001,4.659976184484549e-05
2002,4.342159445513971e-05
2003,4.4264910684432834e-05
2004,4.5274900912772864e-05
2005,4.447972969501279e-05
2006,4.524910036707297e-05
2007,4.61008348793257e-05
2008,4.7527846618322656e-05
2009,5.052376945968717e-05
2010,5.203902401262894e-05
2011,5.349641651264392e-05
2012,4.8897458327701315e-05
2013,4.645673470804468e-05
2014,5.168680945644155e-05
2015,4.936917684972286e-05
2016,4.73000000056345e-05
2017,4.5016113290330395e-05
2018,4.2186202335869893e-05
2019,4.4553591578733176e-05
